,id,title,subtitle,claps,responses,publication,date,link,tokenized,popular,year
16462,16463,Build a Social Media Website with Django — Feed App Backend (Part 4),"In this part, we will focus on…",201,0,Towards Data Science,2020-10-31,https://towardsdatascience.com/build-a-social-media-website-with-django-feed-app-backend-part-4-d82facfa7b3?source=collection_archive---------13-----------------------,"[('build', 'VB'), ('social', 'JJ'), ('media', 'NNS'), ('website', 'JJ'), ('django', 'JJ'), ('—', 'NNP'), ('feed', 'NN'), ('app', 'NNS'), ('backend', 'VBP'), ('part', 'NN'), ('4', 'CD')]",1,2020
5182,5183,Uncertainty Sampling Cheatsheet,A quick reference for four common Uncertainty Sampling strategies for…,38,1,Towards Data Science,2019-07-29,https://towardsdatascience.com/uncertainty-sampling-cheatsheet-ec57bc067c0b?source=collection_archive---------18-----------------------,"[('uncertainty', 'NN'), ('sampling', 'VBG'), ('cheatsheet', 'NN')]",0,2019
3302,3303,Data Analytics | Big data | Case study: V’s of Big data,Let’s try to understand how big is big in “Big…,10,0,Towards Data Science,2020-03-26,https://towardsdatascience.com/data-analytics-big-data-case-study-vs-of-big-data-1d3dc5118759?source=collection_archive---------33-----------------------,"[('data', 'NNS'), ('analytics', 'NNS'), ('big', 'JJ'), ('data', 'NNS'), ('case', 'NN'), ('study', 'NN'), ('v', 'NN'), ('’', 'NNP'), ('big', 'JJ'), ('data', 'NNS')]",0,2020
6164,6165,"Venvs & Pyenvs & Pipenvs, OH MY!",A deep dive beginner’s guide into different python virtual…,200,0,Towards Data Science,2020-05-15,https://towardsdatascience.com/venvs-pyenvs-pipenvs-oh-my-2411149e2f43?source=collection_archive---------21-----------------------,"[('venvs', 'NN'), ('pyenvs', 'NN'), ('pipenvs', 'NN'), ('oh', 'NN')]",1,2020
4171,4172,Machine Learning project management — A decision makers’ guide — 2d3d.ai,,7,0,Towards Data Science,2020-04-13,https://towardsdatascience.com/machine-learning-project-management-a-decision-makers-guide-2d3d-ai-6fbd59504bb1?source=collection_archive---------46-----------------------,"[('machine', 'NN'), ('learning', 'VBG'), ('project', 'JJ'), ('management', 'NN'), ('—', 'JJ'), ('decision', 'NN'), ('makers', 'NNS'), ('’', 'VBP'), ('guide', 'VB'), ('—', 'CD'), ('2d3d.ai', 'CD')]",0,2020
18201,18202,How I Created a Sunburst Chart Using JavaScript to Visualize Covid-19 Data,A step-by-step tutorial on…,158,0,Towards Data Science,2020-12-03,https://towardsdatascience.com/how-i-created-a-sunburst-chart-using-javascript-to-visualize-covid-19-data-4ef27b45af8a?source=collection_archive---------24-----------------------,"[('created', 'VBN'), ('sunburst', 'JJ'), ('chart', 'NN'), ('using', 'VBG'), ('javascript', 'JJ'), ('visualize', 'JJ'), ('covid-19', 'NN'), ('data', 'NNS')]",1,2020
1934,1935,My first job as a Data Analyst: Expectations vs Reality,One of the most important lessons of my…,957,7,Towards Data Science,2019-04-02,https://towardsdatascience.com/my-first-job-as-a-data-analyst-expectations-vs-reality-3a598412cd52?source=collection_archive---------5-----------------------,"[('first', 'JJ'), ('job', 'NN'), ('data', 'NNS'), ('analyst', 'NN'), ('expectations', 'NNS'), ('vs', 'VBP'), ('reality', 'NN')]",1,2019
18828,18829,Robotics and Deep Reinforcement Learning at Neural Information Processing Systems (NeurIPS) 2020,,7,0,Towards Data Science,2020-12-15,https://towardsdatascience.com/robotics-and-deep-reinforcement-learning-at-neural-information-processing-systems-neurips-2020-cc651e3ff216?source=collection_archive---------33-----------------------,"[('robotics', 'NNS'), ('deep', 'JJ'), ('reinforcement', 'NN'), ('learning', 'VBG'), ('neural', 'JJ'), ('information', 'NN'), ('processing', 'VBG'), ('systems', 'NNS'), ('neurips', 'NNS'), ('2020', 'CD')]",0,2020
8130,8131,8 functions from the Pandas library that any Data Scientist must know,If you are starting your journey…,15,0,Towards Data Science,2020-06-10,https://towardsdatascience.com/8-functions-from-the-pandas-library-that-any-data-scientist-must-know-17f6d33521a?source=collection_archive---------42-----------------------,"[('8', 'CD'), ('functions', 'NNS'), ('pandas', 'VBP'), ('library', 'JJ'), ('data', 'NNS'), ('scientist', 'NN'), ('must', 'MD'), ('know', 'VB')]",0,2020
7078,7079,3 Essential Python Skills for Data Scientists,You don’t need a library for everything. Pure Python is…,1200,5,Towards Data Science,2019-09-30,https://towardsdatascience.com/3-essential-python-skills-for-data-scientists-b642a1397ae3?source=collection_archive---------7-----------------------,"[('3', 'CD'), ('essential', 'JJ'), ('python', 'NN'), ('skills', 'NNS'), ('data', 'NNS'), ('scientists', 'NNS')]",1,2019
11976,11977,4 Tricks to Effectively Use JSON in Python,"Working with JSON in Python is a breeze, this will get you…",520,1,Towards Data Science,2020-08-10,https://towardsdatascience.com/4-tricks-to-effectively-use-json-in-python-4ca18c3f91d0?source=collection_archive---------5-----------------------,"[('4', 'CD'), ('tricks', 'NNS'), ('effectively', 'RB'), ('use', 'VBP'), ('json', 'NN'), ('python', 'NN')]",1,2020
358,359,Complex SQL on Excel Spreadsheets,Studying Trends in Pell Grant Data,399,0,Towards Data Science,2019-01-18,https://towardsdatascience.com/complex-sql-on-excel-spreadsheets-274bc93ade89?source=collection_archive---------3-----------------------,"[('complex', 'JJ'), ('sql', 'NN'), ('excel', 'NN'), ('spreadsheets', 'NNS')]",1,2019
17944,17945,"Spice up your excel with python 1/2: upload, manipulate and save data",,9,0,Towards Data Science,2020-11-28,https://towardsdatascience.com/spice-up-your-excel-with-python-621c9693c027?source=collection_archive---------23-----------------------,"[('spice', 'NN'), ('excel', 'NN'), ('python', 'NN'), ('1/2', 'CD'), ('upload', 'JJ'), ('manipulate', 'NN'), ('save', 'NN'), ('data', 'NNS')]",0,2020
12458,12459,Stars Charts in Python,A Tutorial to Create Star Charts using Diamonds and Matplotlib,5,0,Towards Data Science,2020-08-18,https://towardsdatascience.com/stars-charts-in-python-9c20d02fb6c0?source=collection_archive---------43-----------------------,"[('stars', 'NNS'), ('charts', 'NNS'), ('python', 'NN')]",0,2020
6623,6624,GitHub URL Shortener,URL Shortener for GitHub.com using curl and Python,16,0,Towards Data Science,2020-05-21,https://towardsdatascience.com/github-url-shortener-f1e0aeaf83b6?source=collection_archive---------42-----------------------,"[('github', 'NN'), ('url', 'JJ'), ('shortener', 'NN')]",0,2020
10242,10243,"Retrieve, Analyze and Visualize georeferenced data",Earthquakes near Fiji since 1964,9,0,Towards Data Science,2020-07-12,https://towardsdatascience.com/retrieve-analyze-and-visualize-georeferenced-data-aec1af28445b?source=collection_archive---------60-----------------------,"[('retrieve', 'VB'), ('analyze', 'NN'), ('visualize', 'NN'), ('georeferenced', 'VBD'), ('data', 'NNS')]",0,2020
8528,8529,How to engineer Bayesian ratio features?,So that our machine learning models can tell the difference…,74,1,Towards Data Science,2019-11-11,https://towardsdatascience.com/how-to-engineer-bayesian-ratio-features-548b9862446b?source=collection_archive---------36-----------------------,"[('engineer', 'NN'), ('bayesian', 'NN'), ('ratio', 'NN'), ('features', 'NNS')]",0,2019
950,951,Wrapping Your Head Around Gradient Descent (with comics!),Why do we need another article on gradient…,17,1,Towards Data Science,2020-01-26,https://towardsdatascience.com/wrapping-your-head-around-gradient-descent-with-pictures-3fbd810235f5?source=collection_archive---------20-----------------------,"[('wrapping', 'VBG'), ('head', 'NN'), ('around', 'IN'), ('gradient', 'JJ'), ('descent', 'NN'), ('comics', 'NNS')]",0,2020
8673,8674,A Deep Dive on Vector Autoregression in R,Let the data speak! Let us purge a-priori expectations.,24,1,Towards Data Science,2020-06-18,https://towardsdatascience.com/a-deep-dive-on-vector-autoregression-in-r-58767ebb3f06?source=collection_archive---------4-----------------------,"[('deep', 'JJ'), ('dive', 'NN'), ('vector', 'NN'), ('autoregression', 'NN'), ('r', 'NN')]",0,2020
2308,2309,Ethics and Big Data,Determining what is and isn’t an ethical use of Big Data,9,0,Towards Data Science,2020-03-02,https://towardsdatascience.com/ethics-and-big-data-8dd52fe6e9b2?source=collection_archive---------54-----------------------,"[('ethics', 'NNS'), ('big', 'JJ'), ('data', 'NNS')]",0,2020
18501,18502,A Senior Data Scientist Job Search by the Numbers,Analyzing data about my applications and interviews,111,0,Towards Data Science,2020-12-09,https://towardsdatascience.com/a-senior-data-scientist-job-search-by-the-numbers-930cc1884269?source=collection_archive---------17-----------------------,"[('senior', 'JJ'), ('data', 'NNS'), ('scientist', 'NN'), ('job', 'NN'), ('search', 'NN'), ('numbers', 'NNS')]",1,2020
9221,9222,Web scraping with Python & BeautifulSoup,How to extract data from websites,163,0,Towards Data Science,2020-06-26,https://towardsdatascience.com/web-scraping-with-python-beautifulsoup-40d2ce4b6252?source=collection_archive---------6-----------------------,"[('web', 'NN'), ('scraping', 'VBG'), ('python', 'NNS'), ('beautifulsoup', 'NN')]",1,2020
2884,2885,What Drives Up Interest Rates?,,81,0,Towards Data Science,2018-09-20,https://towardsdatascience.com/https-medium-com-hisham-hawara-what-drives-up-loan-interest-rates-45c778baafc2?source=collection_archive---------13-----------------------,"[('drives', 'NNS'), ('interest', 'NN'), ('rates', 'NNS')]",0,2018
1945,1946,A Newbie’s Guide to Stochastic Gradient Descent With Restarts,,550,3,Towards Data Science,2018-07-20,https://towardsdatascience.com/https-medium-com-reina-wang-tw-stochastic-gradient-descent-with-restarts-5f511975163?source=collection_archive---------3-----------------------,"[('newbie', 'JJ'), ('’', 'NNP'), ('guide', 'NN'), ('stochastic', 'JJ'), ('gradient', 'NN'), ('descent', 'NN'), ('restarts', 'NNS')]",1,2018
4530,4531,Solving the Monty Hall Problem with Bayes Theorem,How your intuition can lose you money on gameshows,167,1,Towards Data Science,2020-04-20,https://towardsdatascience.com/solving-the-monty-hall-problem-with-bayes-theorem-893289953e16?source=collection_archive---------6-----------------------,"[('solving', 'VBG'), ('monty', 'NN'), ('hall', 'NN'), ('problem', 'NN'), ('bayes', 'NNS'), ('theorem', 'VBP')]",1,2020
11737,11738,Build a BERT-based Semantic Search System…For Star Trek,Use AI to boldly search like no one has…,15,0,Towards Data Science,2020-08-05,https://towardsdatascience.com/build-a-bert-based-semantic-search-system-for-star-trek-7d7d28414cd8?source=collection_archive---------20-----------------------,"[('build', 'VB'), ('bert-based', 'JJ'), ('semantic', 'JJ'), ('search', 'NN'), ('system…for', 'JJ'), ('star', 'NN'), ('trek', 'NN')]",0,2020
2006,2007,Introduction to Data Engineering,A Q&A for the most frequently…,691,3,Towards Data Science,2020-02-23,https://towardsdatascience.com/introduction-to-data-engineering-e16c9942dc2c?source=collection_archive---------8-----------------------,"[('introduction', 'NN'), ('data', 'NNS'), ('engineering', 'NN')]",1,2020
4986,4987,On the power of the BAN,,7,0,Towards Data Science,2019-07-22,https://towardsdatascience.com/on-the-power-of-the-ban-aa783510f3a1?source=collection_archive---------43-----------------------,"[('power', 'NN'), ('ban', 'NN')]",0,2019
3372,3373,Instagram Data Analysis,Using Panoply and Mode to explore Instagram data to get insights,302,1,Towards Data Science,2019-05-28,https://towardsdatascience.com/instagram-data-analysis-ce03aa4a472a?source=collection_archive---------11-----------------------,"[('instagram', 'NN'), ('data', 'NNS'), ('analysis', 'NN')]",1,2019
5460,5461,Keeping your kids active during quarantine by turning their bicycle into a keyboard,,184,0,Towards Data Science,2020-05-04,https://towardsdatascience.com/keeping-your-kids-in-shape-during-quarantine-by-turning-their-bicycle-into-a-keyboard-e1f8a34fac2e?source=collection_archive---------51-----------------------,"[('keeping', 'VBG'), ('kids', 'NNS'), ('active', 'JJ'), ('quarantine', 'NN'), ('turning', 'VBG'), ('bicycle', 'NN'), ('keyboard', 'NN')]",1,2020
9748,9749,Early Fire detection system using deep learning and OpenCV,,286,1,Towards Data Science,2020-07-05,https://towardsdatascience.com/early-fire-detection-system-using-deep-learning-and-opencv-6cb60260d54a?source=collection_archive---------7-----------------------,"[('early', 'JJ'), ('fire', 'NN'), ('detection', 'NN'), ('system', 'NN'), ('using', 'VBG'), ('deep', 'JJ'), ('learning', 'NN'), ('opencv', 'NN')]",1,2020
10805,10806,Buying a car (in a nerdy way),"Nerd search engine to find good deals on second-hand car prices, by using machine learning for price prediction.",175,0,Towards Data Science,2020-07-21,https://towardsdatascience.com/buying-a-car-in-a-nerdy-way-8ec4626fd49b?source=collection_archive---------55-----------------------,"[('buying', 'NN'), ('car', 'NN'), ('nerdy', 'JJ'), ('way', 'NN')]",1,2020
8840,8841,Step by Step Guide of AWS Elastic Container Service(With Images),Deploy Your Container and Configure…,6,0,Towards Data Science,2020-06-20,https://towardsdatascience.com/step-by-step-guide-of-aws-elastic-container-service-with-images-c258078130ce?source=collection_archive---------27-----------------------,"[('step', 'NN'), ('step', 'NN'), ('guide', 'RB'), ('aws', 'VBZ'), ('elastic', 'JJ'), ('container', 'NN'), ('service', 'NN'), ('images', 'NNS')]",0,2020
